Timestamp,Minutes Asleep,Sleep Type
2022-05-25T00:00:00.000,31,light
2022-05-25T00:31:00.000,16,rem
2022-05-25T00:47:00.000,19,light
2022-05-25T01:06:00.000,22,deep
2022-05-25T01:28:00.000,25,light
2022-05-25T01:53:00.000,4,wake
2022-05-25T01:57:00.000,13,light
2022-05-25T02:10:30.000,11,wake
2022-05-25T02:22:00.000,2,light
2022-05-25T02:24:00.000,14,wake
2022-05-25T02:38:00.000,8,deep
2022-05-25T02:46:30.000,4,light
2022-05-25T02:50:30.000,14,wake
2022-05-25T03:05:00.000,23,light
2022-05-25T03:28:30.000,24,deep
2022-05-25T03:52:30.000,9,light
2022-05-25T04:01:30.000,10,rem
2022-05-25T04:12:00.000,4,light
2022-05-25T04:16:00.000,5,wake
2022-05-25T04:21:00.000,2,light
2022-05-25T04:23:00.000,8,deep
2022-05-25T04:31:00.000,37,light
2022-05-25T05:08:00.000,13,deep
2022-05-25T05:21:30.000,16,light
2022-05-25T05:37:30.000,5,wake
2022-05-25T05:43:00.000,23,light
2022-05-25T06:06:00.000,58,rem
2022-05-25T07:04:00.000,12,light
2022-05-25T07:16:00.000,6,wake
2022-05-25T07:22:30.000,13,light
2022-05-25T07:35:30.000,9,deep
2022-05-25T07:44:30.000,5,light
2022-05-25T07:50:00.000,7,wake